epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.6438,1.47746,1.55038,1.38017,0,0,0,0,0.61908,1.56979,0.93523,0.0702459,0.00330601,0.00330601
2,30.6559,0.75046,0.61333,0.945,0.99336,0.80811,0.90111,0.79218,0.60082,0.5304,0.90391,0.040213,0.00660648,0.00660648
3,45.1468,0.7685,0.57007,0.93998,0.99891,0.70656,0.85263,0.77195,0.6136,0.48356,0.91978,0.0101472,0.00987395,0.00987395
4,59.5845,0.72284,0.53267,0.93245,0.99944,0.69035,0.84476,0.77706,0.54322,0.41929,0.89723,0.0098515,0.0098515,0.0098515
5,74.0844,0.66117,0.47724,0.91745,0.99945,0.70425,0.85189,0.80909,0.49136,0.38977,0.87533,0.009802,0.009802,0.009802
6,88.6278,0.61285,0.43591,0.90022,0.99898,0.75985,0.8794,0.82966,0.47853,0.36648,0.87514,0.0097525,0.0097525,0.0097525
7,103.146,0.5915,0.40763,0.89397,0.99945,0.70463,0.85183,0.81658,0.45312,0.3273,0.86548,0.009703,0.009703,0.009703
8,117.869,0.56746,0.38793,0.88916,0.9995,0.76873,0.88394,0.84877,0.42182,0.31049,0.85513,0.0096535,0.0096535,0.0096535
9,132.409,0.54905,0.36594,0.87806,0.99948,0.73552,0.86742,0.83224,0.43803,0.29968,0.86206,0.009604,0.009604,0.009604
10,146.954,0.53167,0.35978,0.87992,0.99944,0.6888,0.84398,0.81469,0.41364,0.29841,0.85691,0.0095545,0.0095545,0.0095545
11,161.462,0.52144,0.34355,0.87588,0.99942,0.66023,0.82977,0.81383,0.37873,0.27425,0.84956,0.009505,0.009505,0.009505
12,181.982,0.50358,0.33617,0.86664,0.99942,0.67104,0.83508,0.81797,0.36252,0.26766,0.84545,0.0094555,0.0094555,0.0094555
13,202.254,0.49869,0.32984,0.86959,0.99941,0.65405,0.82651,0.81334,0.36545,0.26023,0.84662,0.009406,0.009406,0.009406
14,217.222,0.48181,0.31881,0.86428,0.99944,0.68919,0.84412,0.82619,0.40112,0.26657,0.84747,0.0093565,0.0093565,0.0093565
15,231.963,0.47888,0.3125,0.86063,0.99948,0.73629,0.86765,0.85143,0.36218,0.25612,0.84272,0.009307,0.009307,0.009307
16,246.985,0.47127,0.30865,0.85856,0.99949,0.75521,0.87712,0.86058,0.35788,0.24865,0.84277,0.0092575,0.0092575,0.0092575
17,261.832,0.45987,0.30191,0.86083,0.99948,0.7444,0.8717,0.85457,0.35868,0.24529,0.84142,0.009208,0.009208,0.009208
18,276.732,0.4543,0.29568,0.85772,0.99949,0.75869,0.87888,0.86434,0.34027,0.23706,0.83558,0.0091585,0.0091585,0.0091585
19,291.466,0.44455,0.29295,0.85516,0.99945,0.70116,0.85015,0.83846,0.34134,0.23988,0.83649,0.009109,0.009109,0.009109
20,307.331,0.44119,0.29102,0.8512,0.99946,0.71467,0.85684,0.84807,0.33049,0.23197,0.83563,0.0090595,0.0090595,0.0090595
21,330.439,0.44099,0.28743,0.85486,0.99943,0.68185,0.84043,0.83008,0.32915,0.22578,0.83787,0.00901,0.00901,0.00901
22,354.155,0.43439,0.284,0.85098,0.99947,0.7305,0.86479,0.85447,0.32377,0.21806,0.83374,0.0089605,0.0089605,0.0089605
23,377.871,0.43061,0.27886,0.85175,0.99946,0.71622,0.85763,0.8482,0.32037,0.21503,0.83397,0.008911,0.008911,0.008911
24,401.276,0.42515,0.27231,0.84921,0.99948,0.74363,0.87132,0.85804,0.34188,0.22804,0.83987,0.0088615,0.0088615,0.0088615
25,424.321,0.4239,0.27249,0.84562,0.99948,0.73977,0.86945,0.85645,0.33179,0.23697,0.83397,0.008812,0.008812,0.008812
26,447.518,0.41505,0.26961,0.84725,0.99945,0.69807,0.84854,0.84005,0.31697,0.21885,0.82948,0.0087625,0.0087625,0.0087625
27,470.677,0.41751,0.26949,0.84782,0.99948,0.74556,0.87231,0.86113,0.32345,0.21995,0.83231,0.008713,0.008713,0.008713
28,494.42,0.41005,0.2683,0.84516,0.99949,0.75521,0.87711,0.86649,0.31418,0.21019,0.82943,0.0086635,0.0086635,0.0086635
29,518.2,0.40555,0.26341,0.84623,0.99946,0.71004,0.85455,0.84604,0.30531,0.21072,0.82918,0.008614,0.008614,0.008614
30,541.607,0.40375,0.26381,0.84169,0.99948,0.74749,0.87326,0.86286,0.30106,0.2118,0.82631,0.0085645,0.0085645,0.0085645
31,564.951,0.40062,0.2566,0.84254,0.9995,0.77027,0.8847,0.8728,0.30796,0.20521,0.82778,0.008515,0.008515,0.008515
32,588.571,0.39765,0.25468,0.84127,0.9995,0.77452,0.88676,0.87512,0.30545,0.20411,0.82649,0.0084655,0.0084655,0.0084655
33,611.966,0.39495,0.2551,0.84058,0.99951,0.78996,0.89455,0.88383,0.30036,0.21088,0.82376,0.008416,0.008416,0.008416
34,635.603,0.38552,0.25233,0.84132,0.9995,0.76525,0.88213,0.8733,0.29776,0.19579,0.82465,0.0083665,0.0083665,0.0083665
35,659.027,0.38968,0.25207,0.84077,0.99944,0.68726,0.84313,0.83768,0.29139,0.20395,0.82274,0.008317,0.008317,0.008317
36,682.645,0.38747,0.24982,0.83874,0.9995,0.77413,0.88657,0.87693,0.28588,0.19071,0.824,0.0082675,0.0082675,0.0082675
37,706.372,0.38511,0.24875,0.84231,0.99952,0.79768,0.89837,0.8873,0.28816,0.19292,0.8244,0.008218,0.008218,0.008218
38,729.956,0.38316,0.24887,0.83698,0.9995,0.7695,0.8843,0.87493,0.29129,0.19737,0.82398,0.0081685,0.0081685,0.0081685
39,753.54,0.37404,0.24817,0.83716,0.9995,0.77104,0.88506,0.87651,0.28812,0.1902,0.82225,0.008119,0.008119,0.008119
40,777.023,0.37677,0.24458,0.83947,0.99952,0.80347,0.90125,0.89125,0.28062,0.19026,0.82196,0.0080695,0.0080695,0.0080695
41,800.586,0.37097,0.24444,0.8346,0.99948,0.74556,0.8723,0.86496,0.28455,0.19281,0.82323,0.00802,0.00802,0.00802
42,824.056,0.36723,0.23903,0.83464,0.99951,0.78494,0.89201,0.88156,0.29569,0.19565,0.82446,0.0079705,0.0079705,0.0079705
43,848.122,0.37149,0.24217,0.83806,0.9995,0.76448,0.88177,0.87423,0.27953,0.18936,0.82129,0.007921,0.007921,0.007921
44,871.893,0.3689,0.23747,0.83513,0.99951,0.78842,0.89374,0.88446,0.27524,0.18662,0.81905,0.0078715,0.0078715,0.0078715
45,895.795,0.36822,0.2398,0.83416,0.99953,0.81737,0.90822,0.89792,0.28326,0.18635,0.82144,0.007822,0.007822,0.007822
46,919.312,0.36075,0.23448,0.83213,0.99948,0.74015,0.86963,0.86281,0.28709,0.19121,0.82165,0.0077725,0.0077725,0.0077725
47,936.759,0.36028,0.23177,0.83572,0.99951,0.79073,0.89492,0.88486,0.27888,0.18355,0.82122,0.007723,0.007723,0.007723
48,951.516,0.35699,0.23117,0.83155,0.9995,0.77876,0.88893,0.8808,0.27505,0.18639,0.82031,0.0076735,0.0076735,0.0076735
49,973.016,0.35984,0.23104,0.83282,0.99953,0.82625,0.91265,0.90215,0.283,0.18806,0.82122,0.007624,0.007624,0.007624
50,996.827,0.35879,0.23248,0.83325,0.99905,0.81004,0.90458,0.8963,0.27477,0.17923,0.82086,0.0075745,0.0075745,0.0075745
51,1020.25,0.35442,0.22933,0.83315,0.99951,0.7888,0.89397,0.8864,0.2721,0.18613,0.81998,0.007525,0.007525,0.007525
52,1038.18,0.35157,0.23088,0.83287,0.99951,0.79344,0.89632,0.88806,0.2664,0.1777,0.81796,0.0074755,0.0074755,0.0074755
53,1058.23,0.3513,0.22697,0.83263,0.99952,0.81236,0.9057,0.89656,0.2738,0.17497,0.82005,0.007426,0.007426,0.007426
54,1081.4,0.3528,0.22863,0.83162,0.99952,0.79884,0.89897,0.89001,0.27556,0.18107,0.81714,0.0073765,0.0073765,0.0073765
55,1104.49,0.35041,0.22702,0.83224,0.99953,0.82239,0.91072,0.90003,0.27621,0.17455,0.8212,0.007327,0.007327,0.007327
56,1127.73,0.34722,0.22383,0.83071,0.99951,0.79112,0.8951,0.88736,0.27201,0.17841,0.82104,0.0072775,0.0072775,0.0072775
57,1146,0.34455,0.22153,0.82855,0.99951,0.79421,0.89665,0.8893,0.2617,0.17135,0.81381,0.007228,0.007228,0.007228
58,1160.78,0.34264,0.21933,0.8253,0.99952,0.80772,0.90339,0.89568,0.26277,0.17002,0.81723,0.0071785,0.0071785,0.0071785
59,1175.52,0.34144,0.21996,0.8278,0.99952,0.80541,0.90221,0.89367,0.2696,0.17366,0.81937,0.007129,0.007129,0.007129
60,1190.43,0.33972,0.22232,0.82871,0.99908,0.83514,0.91702,0.90765,0.26111,0.17343,0.81699,0.0070795,0.0070795,0.0070795
61,1205.19,0.33251,0.21985,0.82428,0.99953,0.82857,0.91387,0.90522,0.25514,0.16996,0.81329,0.00703,0.00703,0.00703
62,1220.03,0.33694,0.2212,0.82624,0.99952,0.79846,0.89879,0.89221,0.25275,0.16783,0.81331,0.0069805,0.0069805,0.0069805
63,1234.62,0.33729,0.21694,0.82705,0.99905,0.80849,0.90374,0.89676,0.25572,0.1692,0.81354,0.006931,0.006931,0.006931
64,1249.57,0.33372,0.21198,0.82614,0.99906,0.82162,0.91036,0.90194,0.25689,0.16753,0.81318,0.0068815,0.0068815,0.0068815
65,1264.35,0.32925,0.21422,0.82597,0.99953,0.82471,0.91186,0.90392,0.2559,0.166,0.81463,0.006832,0.006832,0.006832
66,1286.48,0.33342,0.21431,0.82357,0.99953,0.81699,0.90802,0.89939,0.26578,0.16814,0.81698,0.0067825,0.0067825,0.0067825
67,1301.23,0.33147,0.21402,0.82577,0.99952,0.8027,0.90097,0.89351,0.25797,0.16913,0.81192,0.006733,0.006733,0.006733
68,1316.03,0.32818,0.20793,0.82345,0.99909,0.84981,0.92444,0.91471,0.25097,0.16325,0.81225,0.0066835,0.0066835,0.0066835
69,1330.86,0.32802,0.21098,0.82508,0.99953,0.82625,0.9127,0.90464,0.24916,0.16175,0.81093,0.006634,0.006634,0.006634
70,1345.77,0.32686,0.21121,0.82474,0.99906,0.8251,0.91201,0.90421,0.25241,0.164,0.81164,0.0065845,0.0065845,0.0065845
71,1360.56,0.32352,0.20704,0.82228,0.99908,0.84208,0.92051,0.91179,0.25039,0.16294,0.81188,0.006535,0.006535,0.006535
72,1375.33,0.32433,0.21144,0.82888,0.99953,0.82703,0.91304,0.90526,0.25036,0.16352,0.81147,0.0064855,0.0064855,0.0064855
73,1395.75,0.32045,0.208,0.82123,0.99954,0.84054,0.91984,0.91119,0.25094,0.16451,0.81158,0.006436,0.006436,0.006436
74,1410.62,0.31857,0.20698,0.82665,0.99954,0.84517,0.92215,0.91336,0.24916,0.16017,0.81298,0.0063865,0.0063865,0.0063865
75,1425.6,0.31813,0.20534,0.82065,0.99955,0.86641,0.93271,0.92254,0.24785,0.16047,0.8102,0.006337,0.006337,0.006337
76,1440.5,0.32128,0.20728,0.82402,0.99953,0.82201,0.91053,0.90349,0.24405,0.15804,0.81035,0.0062875,0.0062875,0.0062875
77,1455.31,0.31804,0.20419,0.8246,0.99955,0.85212,0.9256,0.91696,0.24356,0.15609,0.81114,0.006238,0.006238,0.006238
78,1470.29,0.31724,0.2039,0.82443,0.99954,0.83282,0.91594,0.90879,0.24494,0.15959,0.81136,0.0061885,0.0061885,0.0061885
79,1486.72,0.31752,0.20308,0.82481,0.99954,0.84131,0.92022,0.91224,0.24219,0.15712,0.81028,0.006139,0.006139,0.006139
80,1509.69,0.31416,0.20052,0.82417,0.99954,0.84595,0.92249,0.91373,0.24133,0.15432,0.80924,0.0060895,0.0060895,0.0060895
81,1533.03,0.31341,0.20269,0.81963,0.99954,0.8332,0.91611,0.90859,0.25027,0.16164,0.81138,0.00604,0.00604,0.00604
82,1555.95,0.31189,0.20246,0.82449,0.99954,0.8471,0.92307,0.91456,0.24004,0.15543,0.80902,0.0059905,0.0059905,0.0059905
83,1579.14,0.30903,0.19815,0.82171,0.99955,0.85097,0.92504,0.91695,0.23943,0.15451,0.80922,0.005941,0.005941,0.005941
84,1602.41,0.30435,0.19658,0.81777,0.99955,0.85251,0.92577,0.91818,0.23531,0.1523,0.80797,0.0058915,0.0058915,0.0058915
85,1625.61,0.3078,0.20108,0.81871,0.99954,0.84247,0.92083,0.91236,0.24105,0.15804,0.80855,0.005842,0.005842,0.005842
86,1649.36,0.31332,0.20177,0.82085,0.99954,0.84208,0.92061,0.91274,0.23918,0.1553,0.80801,0.0057925,0.0057925,0.0057925
87,1672.71,0.31084,0.19766,0.81966,0.99955,0.85019,0.92469,0.91697,0.23837,0.15252,0.80863,0.005743,0.005743,0.005743
88,1696.07,0.30582,0.19681,0.82135,0.99954,0.84402,0.92153,0.9137,0.23751,0.15328,0.80958,0.0056935,0.0056935,0.0056935
89,1719.12,0.30492,0.19745,0.82085,0.9991,0.85753,0.92815,0.92009,0.23717,0.15392,0.80861,0.005644,0.005644,0.005644
90,1742.97,0.30159,0.1945,0.81725,0.99954,0.84672,0.92288,0.91511,0.23444,0.15097,0.80707,0.0055945,0.0055945,0.0055945
91,1768.28,0.29993,0.19482,0.81733,0.99955,0.8529,0.92597,0.91792,0.23418,0.15153,0.80908,0.005545,0.005545,0.005545
92,1791.89,0.30204,0.19357,0.82116,0.99956,0.87027,0.93472,0.92636,0.23047,0.14761,0.80581,0.0054955,0.0054955,0.0054955
93,1815.06,0.3062,0.19374,0.81885,0.99954,0.84402,0.92152,0.91356,0.2324,0.14976,0.80774,0.005446,0.005446,0.005446
94,1837.98,0.29785,0.191,0.81871,0.99955,0.85985,0.92957,0.92235,0.22963,0.14639,0.80584,0.0053965,0.0053965,0.0053965
95,1860.95,0.29284,0.18935,0.81706,0.99955,0.86525,0.93214,0.92376,0.23041,0.14769,0.80732,0.005347,0.005347,0.005347
96,1883.67,0.2961,0.18852,0.81898,0.99911,0.86216,0.93058,0.92177,0.23365,0.14911,0.80854,0.0052975,0.0052975,0.0052975
97,1906.48,0.29498,0.18944,0.81858,0.99955,0.86062,0.92987,0.92171,0.23731,0.14748,0.8079,0.005248,0.005248,0.005248
98,1929.37,0.29505,0.19127,0.81897,0.99956,0.86873,0.93393,0.92509,0.23073,0.14556,0.8055,0.0051985,0.0051985,0.0051985
99,1952.37,0.29949,0.19128,0.8176,0.99955,0.84865,0.92391,0.91761,0.22762,0.14471,0.80503,0.005149,0.005149,0.005149
